GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sm-shop,com.salesmanager.shop.populator.shoppingCart,ShoppingCartDataPopulator,457,0,44,0,102,0,33,0,11,0
sm-shop,com.salesmanager.shop.store.api.v1.tax,TaxRatesApi,31,30,0,0,7,5,4,4,4,4
sm-shop,com.salesmanager.shop.store.api.v1.tax,TaxClassApi,31,30,0,0,7,5,4,4,4,4
sm-shop,com.salesmanager.shop.populator.catalog,PersistableProductImagePopulator,59,0,2,0,15,0,6,0,5,0
sm-shop,com.salesmanager.shop.populator.catalog,ReadableProductPopulator,1376,0,174,0,319,0,104,0,17,0
sm-shop,com.salesmanager.shop.populator.catalog,ReadableProductPricePopulator,200,0,26,0,48,0,19,0,6,0
sm-shop,com.salesmanager.shop.populator.catalog,ReadableProductReviewPopulator,76,0,4,0,19,0,5,0,3,0
sm-shop,com.salesmanager.shop.populator.catalog,ReadableFinalPricePopulator,60,0,2,0,15,0,6,0,5,0
sm-shop,com.salesmanager.shop.populator.catalog,PersistableCategoryPopulator,96,251,12,26,20,53,15,12,5,3
sm-shop,com.salesmanager.shop.populator.catalog,PersistableProductOptionPopulator,101,0,6,0,27,0,8,0,5,0
sm-shop,com.salesmanager.shop.populator.catalog,ReadableCategoryPopulator,41,103,10,6,10,26,9,2,1,2
sm-shop,com.salesmanager.shop.populator.catalog,PersistableProductReviewPopulator,180,0,14,0,44,0,16,0,9,0
sm-shop,com.salesmanager.shop.populator.catalog,PersistableProductOptionValuePopulator,101,0,6,0,27,0,8,0,5,0
sm-shop,com.salesmanager.shop.store.controller,AbstractController,43,3,0,0,13,1,6,1,6,1
sm-shop,com.salesmanager.shop.store.api,DefaultController,10,3,0,0,1,1,1,1,1,1
sm-shop,com.salesmanager.shop.store.controller.shoppingCart.facade,ShoppingCartFacadeImpl,1460,732,196,70,340,163,143,35,24,21
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductReviewApi,212,7,16,0,66,2,12,2,4,2
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductPropertySetApi,62,3,2,0,13,1,7,1,6,1
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductTypeApi,62,7,0,0,12,2,6,2,6,2
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductPriceApi,83,7,0,0,19,2,7,2,7,2
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductAttributeOptionApi,189,12,0,0,37,3,19,2,19,2
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductManufacturerApi,158,22,4,0,44,5,8,4,6,4
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductGroupApi,139,7,6,0,43,2,10,2,7,2
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductInventoryApi,67,7,2,0,14,2,6,2,5,2
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductApi,398,23,52,0,107,6,35,3,9,3
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductImageApi,359,7,38,0,88,2,26,2,7,2
sm-shop,com.salesmanager.shop.store.api.v1.product,ProductRelationshipApi,39,7,2,0,13,2,2,2,1,2
sm-shop,com.salesmanager.shop.store.api.exception,FileUploadExceptionAdvice,28,7,2,0,6,2,2,2,1,2
sm-shop,com.salesmanager.shop.store.api.exception,ConversionRuntimeException,24,0,0,0,10,0,5,0,5,0
sm-shop,com.salesmanager.shop.store.api.exception,GenericRuntimeException,36,23,0,0,15,10,4,5,4,5
sm-shop,com.salesmanager.shop.store.api.exception,ErrorEntity,0,17,0,0,0,7,0,5,0,5
sm-shop,com.salesmanager.shop.store.api.exception,RestErrorHandler,127,56,13,3,27,15,13,4,5,4
sm-shop,com.salesmanager.shop.store.api.exception,ConstraintException,11,0,0,0,4,0,2,0,2,0
sm-shop,com.salesmanager.shop.store.api.exception,RestApiException,24,0,0,0,10,0,5,0,5,0
sm-shop,com.salesmanager.shop.store.api.exception,ServiceRuntimeException,24,5,2,0,8,2,5,1,4,1
sm-shop,com.salesmanager.shop.store.api.exception,UnauthorizedException,14,0,0,0,6,0,3,0,3,0
sm-shop,com.salesmanager.shop.store.api.exception,OperationNotAllowedException,5,0,0,0,2,0,1,0,1,0
sm-shop,com.salesmanager.shop.store.api.exception,ResourceNotFoundException,10,5,2,0,2,2,2,1,1,1
sm-shop,com.salesmanager.shop.mapper.inventory,ReadableInventoryMapper,216,3,24,0,50,1,16,1,4,1
sm-shop,com.salesmanager.shop.mapper.inventory,PersistableProductPriceMapper,333,3,40,0,84,1,28,1,8,1
sm-shop,com.salesmanager.shop.mapper.inventory,PersistableInventoryMapper,536,3,84,0,111,1,50,1,8,1
sm-shop,com.salesmanager.shop.store.security.admin,AdminAccessDeniedHandler,21,0,0,0,7,0,4,0,4,0
sm-shop,com.salesmanager.shop.store.security.admin,JWTAdminServicesImpl,17,117,2,6,4,31,2,6,0,4
sm-shop,com.salesmanager.shop.store.security.admin,JWTAdminAuthenticationProvider,23,45,2,2,5,12,4,4,2,4
sm-shop,com.salesmanager.shop.store.security.admin,JWTAdminAuthenticationManager,19,84,4,4,5,19,6,4,2,4
sm-shop,com.salesmanager.shop.controller,FilesController,77,7,4,0,16,2,4,2,2,2
sm-shop,com.salesmanager.shop.controller,ImagesController,194,24,23,1,48,9,16,3,4,3
sm-shop,com.salesmanager.shop.mapper.optin,ReadableOptinMapper,2,22,0,0,1,6,1,2,1,2
sm-shop,com.salesmanager.shop.mapper.optin,PersistableOptinMapper,2,25,0,0,1,7,1,2,1,2
sm-shop,com.salesmanager.shop.store.facade.configuration,AbstractConfigurationFacadeImpl,3,0,0,0,1,0,1,0,1,0
sm-shop,com.salesmanager.shop.store.controller.shipping.facade,ShippingFacadeImpl,688,7,38,0,167,2,43,2,24,2
sm-shop,com.salesmanager.shop.store.api.v1.search,SearchApi,15,3,0,0,2,1,2,1,2,1
sm-shop,com.salesmanager.shop.store.facade.shipping,ShippingConfigurationFacadeImpl,6,3,0,0,4,1,4,1,4,1
sm-shop,com.salesmanager.shop.utils,ServerConfig,8,36,0,0,4,9,1,4,1,4
sm-shop,com.salesmanager.shop.utils,WebApplicationCacheUtils,11,3,0,0,3,1,2,1,2,1
sm-shop,com.salesmanager.shop.utils,CaptchaRequestUtils.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
sm-shop,com.salesmanager.shop.utils,LabelUtils,24,7,0,0,5,3,3,2,3,2
sm-shop,com.salesmanager.shop.utils,EnumValidator,51,0,10,0,12,0,8,0,3,0
sm-shop,com.salesmanager.shop.utils,LocalImageFilePathUtils,271,17,8,0,28,7,15,3,11,3
sm-shop,com.salesmanager.shop.utils,BeanUtils,87,0,12,0,21,0,9,0,3,0
sm-shop,com.salesmanager.shop.utils,ServiceRequestCriteriaBuilderUtils,153,0,10,0,45,0,11,0,6,0
sm-shop,com.salesmanager.shop.utils,LocaleUtils,48,0,4,0,14,0,6,0,4,0
sm-shop,com.salesmanager.shop.utils,EmailUtils,119,3,2,0,17,1,2,1,1,1
sm-shop,com.salesmanager.shop.utils,AbstractimageFilePath,303,8,6,0,33,2,16,1,13,1
sm-shop,com.salesmanager.shop.utils,SanitizeUtils,51,157,7,1,12,13,5,2,1,2
sm-shop,com.salesmanager.shop.utils,ImageFilePathUtils,16,9,0,0,6,3,4,1,4,1
sm-shop,com.salesmanager.shop.utils,FileNameUtils,16,3,4,0,6,1,3,1,1,1
